,Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
10,"2019-10-03 - Jets 4, Rangers 6",Winnipeg Jets,Limited ReportFull Report,48.066666666667004,61.68,40.87,60.15,48.67,31.18,60.95,35.29,25.33,58.21,3.03,3.75,44.7,2.99,1.63,64.67,30.03,20.98,58.87,15.79,8.42,65.21,13.51,7.57,64.09,1.01,2.8,26.51,7.48,63.01,14.25,12.58,53.1,9.15,5.83,61.1,2.12,0.0,100.00,23.12,100.00,27.96,16.69,62.62,10.79,9.95,52.02,0.0,0.95,0.00,0.0,90.49,8.6,85.18,0.938,18006
11,"2019-10-03 - Jets 4, Rangers 6",New York Rangers,Limited ReportFull Report,48.066666666667004,40.87,61.68,39.85,31.18,48.67,39.05,25.33,35.29,41.79,3.75,3.03,55.3,1.63,2.99,35.33,20.98,30.03,41.13,8.42,15.79,34.79,7.57,13.51,35.91,2.8,1.01,73.49,36.99,92.52,12.58,14.25,46.9,5.83,9.15,38.9,0.0,2.12,0.00,0.00,76.88,16.69,27.96,37.38,9.95,10.79,47.98,0.95,0.0,100.00,9.51,100.0,14.82,91.4,1.062,18006
12,"2019-10-03 - Sabres 3, Penguins 1",Buffalo Sabres,Limited ReportFull Report,47.466666666667,59.18,35.48,62.52,40.3,24.22,62.46,34.56,17.22,66.75,2.13,0.0,100.0,2.56,0.79,76.43,32.93,13.44,71.01,12.17,0.88,93.24,12.12,0.89,93.19,1.08,0.0,100.00,8.92,100.00,21.05,12.37,62.98,11.81,3.71,76.12,1.05,0.0,100.00,8.91,100.00,20.47,16.9,54.77,8.46,9.02,48.39,0.0,0.0,-,0.0,100.0,6.17,100.0,1.062,18616
13,"2019-10-03 - Sabres 3, Penguins 1",Pittsburgh Penguins,Limited ReportFull Report,47.466666666667,35.48,59.18,37.48,24.22,40.3,37.54,17.22,34.56,33.25,0.0,2.13,0.0,0.79,2.56,23.57,13.44,32.93,28.99,0.88,12.17,6.76,0.89,12.12,6.81,0.0,1.08,0.00,0.00,91.08,12.37,21.05,37.02,3.71,11.81,23.88,0.0,1.05,0.00,0.00,91.09,16.9,20.47,45.23,9.02,8.46,51.61,0.0,0.0,-,0.0,100.0,0.0,93.83,0.938,18616
14,"2019-10-03 - Canadiens 3, Hurricanes 4",Montreal Canadiens,Limited ReportFull Report,49.316666666667004,51.34,57.83,47.03,40.12,47.1,46.0,27.64,33.69,45.06,2.07,1.87,52.55,1.96,2.87,40.63,17.61,28.48,38.21,9.58,14.98,39.0,6.32,10.41,37.77,2.07,1.86,52.66,32.73,82.14,8.04,13.41,37.5,6.07,6.76,47.32,0.0,0.0,-,0.00,100.00,28.62,27.09,51.37,13.26,15.43,46.22,0.0,0.0,-,0.0,100.0,7.48,94.46,1.0190000000000001,18680
15,"2019-10-03 - Canadiens 3, Hurricanes 4",Carolina Hurricanes,Limited ReportFull Report,49.316666666667004,57.83,51.34,52.97,47.1,40.12,54.0,33.69,27.64,54.94,1.87,2.07,47.45,2.87,1.96,59.37,28.48,17.61,61.79,14.98,9.58,61.0,10.41,6.32,62.23,1.86,2.07,47.34,17.86,67.27,13.41,8.04,62.5,6.76,6.07,52.68,0.0,0.0,-,0.00,100.00,27.09,28.62,48.63,15.43,13.26,53.78,0.0,0.0,-,0.0,100.0,5.54,92.52,0.981,18680
16,"2019-10-03 - Wild 2, Predators 5",Minnesota Wild,Limited ReportFull Report,50.48333333333299,38.84,55.0,41.39,29.52,40.87,41.94,21.57,24.0,47.34,1.06,3.8,21.76,1.07,1.7,38.6,16.95,17.5,49.19,4.96,5.7,46.56,4.9,5.76,45.97,0.0,3.79,0.00,0.00,34.17,11.8,11.93,49.72,8.02,5.88,57.69,0.0,0.0,-,0.00,100.00,19.39,34.42,36.04,8.85,12.49,41.48,1.05,0.0,100.00,11.9,100.0,4.9,84.17,0.8909999999999999,17455
17,"2019-10-03 - Wild 2, Predators 5",Nashville Predators,Limited ReportFull Report,50.48333333333299,55.0,38.84,58.61,40.87,29.52,58.06,24.0,21.57,52.66,3.8,1.06,78.24,1.7,1.07,61.4,17.5,16.95,50.81,5.7,4.96,53.44,5.76,4.9,54.03,3.79,0.0,100.00,65.83,100.00,11.93,11.8,50.28,5.88,8.02,42.31,0.0,0.0,-,0.00,100.00,34.42,19.39,63.96,12.49,8.85,58.52,0.0,1.05,0.00,0.0,88.1,15.83,95.1,1.109,17455
18,"2019-10-03 - Bruins 2, Stars 1",Boston Bruins,Limited ReportFull Report,47.6,42.86,35.04,55.02,27.75,26.69,50.98,18.66,18.84,49.77,1.06,0.95,52.62,1.28,0.96,57.17,21.21,16.86,55.71,5.6,5.26,51.58,5.59,3.49,61.54,0.0,0.93,0.00,0.00,73.39,15.93,11.36,58.38,6.48,5.54,53.89,0.0,0.0,-,0.00,100.00,14.53,14.06,50.83,5.52,7.94,41.02,1.05,0.0,100.00,19.09,100.0,5.66,94.95,1.006,18532
19,"2019-10-03 - Bruins 2, Stars 1",Dallas Stars,Limited ReportFull Report,47.6,35.04,42.86,44.98,26.69,27.75,49.02,18.84,18.66,50.23,0.95,1.06,47.38,0.96,1.28,42.83,16.86,21.21,44.29,5.26,5.6,48.42,3.49,5.59,38.46,0.93,0.0,100.00,26.61,100.00,11.36,15.93,41.62,5.54,6.48,46.11,0.0,0.0,-,0.00,100.00,14.06,14.53,49.17,7.94,5.52,58.98,0.0,1.05,0.00,0.0,80.91,5.05,94.34,0.9940000000000001,18532
20,"2019-10-03 - Flames 3, Avalanche 5",Calgary Flames,Limited ReportFull Report,42.15,45.74,40.44,53.08,33.55,28.94,53.68,21.67,21.95,49.68,1.01,1.89,34.96,1.72,1.62,51.6,21.3,21.52,49.74,9.34,7.73,54.72,5.14,5.86,46.73,0.0,0.94,0.00,0.00,83.94,11.84,13.92,45.96,6.04,8.85,40.58,1.02,0.95,51.90,16.94,89.28,19.1,14.29,57.21,8.53,7.08,54.62,0.0,0.0,-,0.0,100.0,4.68,91.4,0.961,18016
